Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/bid,1749,0,4,4.76919119654989,1.5592999989166856,136.0044000321068,682.7775871926815,60.064035245857866,0.0,4,5,6,6,7,8,10,15,110,140,140
,Aggregated,1749,0,4,4.76919119654989,1.5592999989166856,136.0044000321068,682.7775871926815,60.064035245857866,0.0,4,5,6,6,7,8,10,15,110,140,140
