Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,215,215,2,2.7828772091557172,0.8947999995143618,49.15930000061053,97.90232558139535,7.3792598018854365,7.3792598018854365,2,3,3,3,4,4,8,11,49,49,49
POST,POST /bid (basic),2260,0,2,2.9482980088598794,0.8683000014571007,69.07110000247485,84.0,77.56803326633064,0.0,2,3,3,3,4,5,8,15,43,69,69
POST,POST /bid (native),654,0,2,2.9921949540832027,0.8645999987493269,75.12340000175755,84.0,22.446678653177095,0.0,2,3,3,3,4,5,9,16,75,75,75
POST,POST /bid (video),1109,0,2,2.924563300295813,0.8770000022195745,39.39840000020922,84.0,38.06325172228349,0.0,2,3,3,3,4,5,9,13,36,39,39
,Aggregated,4238,215,2,2.940469159978829,0.8645999987493269,75.12340000175755,84.70528551203398,145.45722344367667,7.3792598018854365,2,3,3,3,4,5,8,15,43,75,75
