Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,3753,3753,9,10.809428030967206,0.7905000020400621,71.80119999975432,97.8830269118039,63.96436140411362,63.96436140411362,9,11,13,14,17,22,27,35,59,72,72
POST,POST /bid (basic),36687,0,11,13.015241415202302,0.7740000000922009,118.79200000112178,84.0,625.275919752922,0.0,11,14,16,17,21,27,35,45,91,120,120
POST,POST /bid (native),11110,0,11,13.004138433873054,0.7684999982302543,118.56989999796497,84.0,189.35359850778107,0.0,11,14,16,17,21,27,35,44,96,120,120
POST,POST /bid (video),18448,0,11,12.971433391138394,0.7912000000942498,117.65399999785586,84.0,314.4190085752966,0.0,11,14,15,17,21,27,35,44,79,120,120
,Aggregated,69998,3753,11,12.883667053341453,0.7684999982302543,118.79200000112178,84.74434983856682,1193.0128882401132,63.96436140411362,11,14,15,17,21,27,35,44,89,120,120
