Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/bid,457,0,7,26.122357769277258,2.9907000134699047,656.549500010442,650.074398249453,51.52461072889915,0.0,7,9,9,10,13,54,520,550,660,660,660
,Aggregated,457,0,7,26.122357769277258,2.9907000134699047,656.549500010442,650.074398249453,51.52461072889915,0.0,7,9,9,10,13,54,520,550,660,660,660
