Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,40,40,4100.0,4086.2371025000357,4069.331200000306,4108.600700001261,0.0,0.6876318408568669,0.6876318408568669,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
POST,POST /bid (basic),346,346,4100.0,4087.488723699438,4061.0182999989775,4111.8626999996195,0.0,5.948015423411898,5.948015423411898,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
POST,POST /bid (native),105,105,4100.0,4088.061741904607,4063.766100000066,4129.4994999989285,0.0,1.8050335822492756,1.8050335822492756,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
POST,POST /bid (video),169,169,4100.0,4089.0778585799885,4067.1634999998787,4112.401999998838,0.0,2.9052445276202623,2.9052445276202623,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,660,660,4100.0,4087.9109446969765,4061.0182999989775,4129.4994999989285,0.0,11.345925374138304,11.345925374138304,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
