Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/bid,4222,0,4,5.130314851089389,1.2190000270493329,274.1130999638699,263.65253434391286,145.17735362186204,0.0,4,5,6,7,9,11,17,23,79,270,270
,Aggregated,4222,0,4,5.130314851089389,1.2190000270493329,274.1130999638699,263.65253434391286,145.17735362186204,0.0,4,5,6,7,9,11,17,23,79,270,270
